date,exercise,set_number,reps_numerator,reps_denominator
2020-06-01,pushup,1,10,10
2020-06-01,pushup,2,9,10
2020-06-01,pushup,3,5,10
2020-06-01,Kettlebell Rows,1,8,8
2020-06-01,Kettlebell Rows,2,8,8
2020-06-01,Kettlebell Rows,3,8,8
2020-06-01,dip shrugs,1,8,8
2020-06-01,dip shrugs,2,8,8
2020-06-01,scapular pushups,1,8,8
2020-06-01,scapular pushups,2,8,8
2020-06-01,bridge,1,15,30
2020-06-01,bridge,2,15,30
2020-06-01,ladder set,1,5,5
2020-06-01,ladder set,2,3,3
2020-06-01,ladder set,3,1,1
2020-06-01,wall slides,1,6,6
2020-06-01,wall slides,2,6,6
2020-06-02,pistol squat,1,12,12
2020-06-02,pistol squat,2,12,12
2020-06-02,glute ham hinge,1,12,12
2020-06-02,glute ham hinge,2,12,12
2020-06-02,wall squat,1,30,30
2020-06-02,wall squat,2,30,30
2020-06-02,calf raise,1,30,30
2020-06-02,calf raise,2,20,30
2020-06-02,bent leg calf raise,1,20,20
2020-06-02,bent leg calf raise,2,20,20
2020-06-02,ladder set,1,5,5
2020-06-02,ladder set,2,3,3
2020-06-02,ladder set,3,1,1
2020-06-03,(N) pushup,1,6,6
2020-06-03,(N) pushup,2,6,6
2020-06-03,Kettlebell Rows,1,8,8
2020-06-03,Kettlebell Rows,2,8,8
2020-06-03,Kettlebell Rows,3,8,8
2020-06-03,dip shrugs,1,8,8
2020-06-03,dip shrugs,2,8,8
2020-06-03,scapular pushups,1,8,8
2020-06-03,scapular pushups,2,8,8
2020-06-03,bridge,1,30,30
2020-06-03,bridge,2,30,30
2020-06-03,ladder set,1,5,5
2020-06-03,ladder set,2,3,3
2020-06-03,ladder set,3,1,1
2020-06-03,wall slides,1,6,6
2020-06-03,wall slides,2,6,6
2020-06-03,band curls (black),1,16,20
2020-06-03,band curls (black),2,20,20
2020-06-03,band curls (black),3,20,20
2020-06-08,pushup,1,10,10
2020-06-08,pushup,2,10,10
2020-06-08,pushup,3,6,10
2020-06-08,Kettlebell Rows,1,8,8
2020-06-08,Kettlebell Rows,2,8,8
2020-06-08,Kettlebell Rows,3,8,8
2020-06-08,dip shrugs,1,8,8
2020-06-08,dip shrugs,2,8,8
2020-06-08,scapular pushups,1,8,8
2020-06-08,scapular pushups,2,8,8
2020-06-08,bridge,1,30,30
2020-06-08,bridge,2,30,30
2020-06-08,ladder set,1,7,7
2020-06-08,ladder set,2,5,5
2020-06-08,ladder set,3,3,3
2020-06-09,pistol squat,1,12,12
2020-06-09,pistol squat,2,12,12
2020-06-09,glute ham hinge,1,12,12
2020-06-09,glute ham hinge,2,12,12
2020-06-09,wall squat,1,45,45
2020-06-09,wall squat,2,30,30
2020-06-09,calf raise,1,30,30
2020-06-09,calf raise,2,25,30
2020-06-09,bent leg calf raise,1,20,20
2020-06-09,bent leg calf raise,2,20,20
2020-06-09,ladder set,1,7,7
2020-06-09,ladder set,2,5,5
2020-06-09,ladder set,3,3,3
2020-06-10,(N) pushup,1,6,6
2020-06-10,(N) pushup,2,6,6
2020-06-10,Kettlebell Rows,1,8,8
2020-06-10,Kettlebell Rows,2,8,8
2020-06-10,Kettlebell Rows,3,8,8
2020-06-10,dip shrugs,1,8,8
2020-06-10,dip shrugs,2,8,8
2020-06-10,scapular pushups,1,8,8
2020-06-10,scapular pushups,2,8,8
2020-06-10,bridge,1,60,60
