date,Lhour,Lmin,Lsec,Rhour,Rmin,Rsec
11/9/20,1,44,32,14,52,103
11/8/20,1,0,0,4,28,53
11/7/20,6,40,57,9,59,59
11/6/20,3,22,3,11,12,31
11/5/20,4,36,31,12,53,52
11/4/20,4,6,26,9,59,59
11/3/20,4,15,2,9,59,59
11/2/20,2,38,13,3,13,27
11/13/20,2,5,50,9,25,31
11/11/20,1,18,4,9,45,15
11/10/20,4,26,21,9,43,25
11/14/20,1,42,44,9,59,59
11/15/20,2,10,53,4,16,25
11/16/20,1,29,26,17,36,20
11/17/20,2,17,49,6,56,52
11/18/20,3,37,3,16,13,25
11/19/20,1,31,3,9,59,59
11/20/20,8,13,41,5,18,56
11/21/20,3,21,58,6,40,27
11/22/20,4,11,48,9,59,59
11/23/20,4,36,18,8,0,30
11/24/20,4,5,32,3,0,5
11/25/20,5,25,59,7,41,45
11/26/20,0,40,0,2,0,0
11/28/20,7,10,55,2,21,50
11/29/20,12,16,0,6,35,27
11/30/20,11,50,44,4,35,37
12/1/20,5,46,19,6,25,26
12/2/20,4,7,53,8,13,10
12/3/20,5,12,2,9,11,22
12/4/20,7,38,58,6,12,59
12/5/20,0,54,45,12,51,22
12/8/20,5,53,20,9,59,59
12/9/20,1,42,7,15,10,11
12/10/20,4,31,38,15,54,30
12/11/20,3,20,38,4,12,39
12/12/20,4,28,51,1,57,55
12/13/20,3,16,27,9,14,29
12/14/20,0,0,0,1,57,40
12/15/20,4,29,38,9,59,59
